,index,What age range are you?,What is your gender?,What estimated range is your household's monthly income?,"Which area are you from? If not from Karachi please select ""Outside Karachi""","In the last 12 months, have you done any of the following in Karachi? Please select all that apply",Do you trust Karachi's various administrative bodies and caretakers with your well-being?,Have you given feedback or participated in the design process of any public project in Karachi?
1762,379dup,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,Practice some sport of physical activity on a regular basis,,
1763,379dup,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,"Visit a religious building (mosque, church, temple, etc)",,
1764,379dup,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,Participate in a protest,,
1765,379dup,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,"Visit a natural area (hills, lakes, mangroves, etc)",,
1766,380,15 - 24 years,Male,"175,000 - 200,000 rupees",Gulshan-e-Iqbal,"Visit museums, galleries",No - I do not trust them,Yes - I would like more opportunities to participate
1767,380dup,15 - 24 years,Male,"175,000 - 200,000 rupees",Gulshan-e-Iqbal,"Visit monuments, historic sites",,
1768,380dup,15 - 24 years,Male,"175,000 - 200,000 rupees",Gulshan-e-Iqbal,"Visit conferences, seminars (outside of institutional requirements)",,
1769,380dup,15 - 24 years,Male,"175,000 - 200,000 rupees",Gulshan-e-Iqbal,Visit cultural events on the street or at public squares,,
1770,380dup,15 - 24 years,Male,"175,000 - 200,000 rupees",Gulshan-e-Iqbal,Visit a park for a walks or leisure,,
1771,380dup,15 - 24 years,Male,"175,000 - 200,000 rupees",Gulshan-e-Iqbal,Practice some sport of physical activity on a regular basis,,
1772,380dup,15 - 24 years,Male,"175,000 - 200,000 rupees",Gulshan-e-Iqbal,"Visit a religious building (mosque, church, temple, etc)",,
1773,380dup,15 - 24 years,Male,"175,000 - 200,000 rupees",Gulshan-e-Iqbal,Visit a musical/dancing event (not including weddings),,
1774,380dup,15 - 24 years,Male,"175,000 - 200,000 rupees",Gulshan-e-Iqbal,Visit an outdoors bazaar,,
1775,380dup,15 - 24 years,Male,"175,000 - 200,000 rupees",Gulshan-e-Iqbal,Visit an indoors bazaar/mall,,
1776,380dup,15 - 24 years,Male,"175,000 - 200,000 rupees",Gulshan-e-Iqbal,"Visit a natural area (hills, lakes, mangroves, etc)",,
1777,380dup,15 - 24 years,Male,"175,000 - 200,000 rupees",Gulshan-e-Iqbal,Visit a community centre,,
1778,381,45 years and above,Male,"200,001 and above",Clifton Cantonment,"Visit conferences, seminars (outside of institutional requirements)",No - I do not trust them,No - I would like the opportunities to participate
1779,381dup,45 years and above,Male,"200,001 and above",Clifton Cantonment,Visit cultural events on the street or at public squares,,
1780,381dup,45 years and above,Male,"200,001 and above",Clifton Cantonment,Visit a park for a walks or leisure,,
1781,381dup,45 years and above,Male,"200,001 and above",Clifton Cantonment,Practice some sport of physical activity on a regular basis,,
1782,382,25 - 44 years,Female,"200,001 and above",Clifton Cantonment,"Visit museums, galleries",No - I do not trust them,No - I would like the opportunities to participate
1783,382dup,25 - 44 years,Female,"200,001 and above",Clifton Cantonment,"Visit monuments, historic sites",,
1784,382dup,25 - 44 years,Female,"200,001 and above",Clifton Cantonment,"Visit conferences, seminars (outside of institutional requirements)",,
1785,382dup,25 - 44 years,Female,"200,001 and above",Clifton Cantonment,"Visit a fair (books, food, crafts)",,
1786,382dup,25 - 44 years,Female,"200,001 and above",Clifton Cantonment,Participate in a protest,,
1787,382dup,25 - 44 years,Female,"200,001 and above",Clifton Cantonment,Visit an outdoors bazaar,,
1788,383,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,"Visit monuments, historic sites",No - I do not trust them,No - I would like the opportunities to participate
1789,383dup,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,Visit cultural events on the street or at public squares,,
1790,383dup,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,Visit a park for a walks or leisure,,
1791,383dup,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,"Visit a religious building (mosque, church, temple, etc)",,
1792,383dup,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,Visit an indoors bazaar/mall,,
1793,384,15 - 24 years,Female,"200,001 and above",Outside Karachi,"Visit museums, galleries",No - I do not trust them,No - I would like the opportunities to participate
1794,384dup,15 - 24 years,Female,"200,001 and above",Outside Karachi,Visit a park for a walks or leisure,,
1795,384dup,15 - 24 years,Female,"200,001 and above",Outside Karachi,Practice some sport of physical activity on a regular basis,,
1796,384dup,15 - 24 years,Female,"200,001 and above",Outside Karachi,"Visit a theatre (play, movies)",,
1797,384dup,15 - 24 years,Female,"200,001 and above",Outside Karachi,"Visit a fair (books, food, crafts)",,
1798,384dup,15 - 24 years,Female,"200,001 and above",Outside Karachi,"Visit a religious building (mosque, church, temple, etc)",,
1799,384dup,15 - 24 years,Female,"200,001 and above",Outside Karachi,Participate in a protest,,
1800,384dup,15 - 24 years,Female,"200,001 and above",Outside Karachi,Visit an outdoors bazaar,,
1801,384dup,15 - 24 years,Female,"200,001 and above",Outside Karachi,Visit an indoors bazaar/mall,,
1802,385,15 - 24 years,Female,"75,001 - 100,000 rupees",Clifton Cantonment,"Visit monuments, historic sites",No - I do not trust them,No - I would like the opportunities to participate
1803,385dup,15 - 24 years,Female,"75,001 - 100,000 rupees",Clifton Cantonment,Visit a park for a walks or leisure,,
1804,385dup,15 - 24 years,Female,"75,001 - 100,000 rupees",Clifton Cantonment,Participate in a protest,,
1805,385dup,15 - 24 years,Female,"75,001 - 100,000 rupees",Clifton Cantonment,Visit an outdoors bazaar,,
1806,386,15 - 24 years,Prefer not to answer,"75,001 - 100,000 rupees",Aram Bagh,"Visit museums, galleries",No - I do not trust them,No - I would like the opportunities to participate
1807,386dup,15 - 24 years,Prefer not to answer,"75,001 - 100,000 rupees",Aram Bagh,"Visit monuments, historic sites",,
1808,386dup,15 - 24 years,Prefer not to answer,"75,001 - 100,000 rupees",Aram Bagh,"Visit conferences, seminars (outside of institutional requirements)",,
1809,386dup,15 - 24 years,Prefer not to answer,"75,001 - 100,000 rupees",Aram Bagh,Visit cultural events on the street or at public squares,,
1810,386dup,15 - 24 years,Prefer not to answer,"75,001 - 100,000 rupees",Aram Bagh,Visit a park for a walks or leisure,,
1811,386dup,15 - 24 years,Prefer not to answer,"75,001 - 100,000 rupees",Aram Bagh,"Visit a fair (books, food, crafts)",,
1812,386dup,15 - 24 years,Prefer not to answer,"75,001 - 100,000 rupees",Aram Bagh,"Visit a religious building (mosque, church, temple, etc)",,
1813,386dup,15 - 24 years,Prefer not to answer,"75,001 - 100,000 rupees",Aram Bagh,Participate in a protest,,
1814,386dup,15 - 24 years,Prefer not to answer,"75,001 - 100,000 rupees",Aram Bagh,Visit an outdoors bazaar,,
1815,387,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,Visit a park for a walks or leisure,No - I do not trust them,No - I would like the opportunities to participate
1816,387dup,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,Practice some sport of physical activity on a regular basis,,
1817,387dup,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,"Visit a fair (books, food, crafts)",,
1818,387dup,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,"Visit a religious building (mosque, church, temple, etc)",,
1819,387dup,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,Participate in a protest,,
1820,388,15 - 24 years,Male,"150,001 - 175,000 rupees",Garden,"Visit museums, galleries",No - I do not trust them,No - I would like the opportunities to participate
1821,388dup,15 - 24 years,Male,"150,001 - 175,000 rupees",Garden,"Visit monuments, historic sites",,
1822,388dup,15 - 24 years,Male,"150,001 - 175,000 rupees",Garden,Visit a park for a walks or leisure,,
1823,388dup,15 - 24 years,Male,"150,001 - 175,000 rupees",Garden,Practice some sport of physical activity on a regular basis,,
1824,388dup,15 - 24 years,Male,"150,001 - 175,000 rupees",Garden,"Visit a religious building (mosque, church, temple, etc)",,
1825,388dup,15 - 24 years,Male,"150,001 - 175,000 rupees",Garden,Participate in a protest,,
1826,388dup,15 - 24 years,Male,"150,001 - 175,000 rupees",Garden,Visit an outdoors bazaar,,
1827,388dup,15 - 24 years,Male,"150,001 - 175,000 rupees",Garden,Visit an indoors bazaar/mall,,
1828,388dup,15 - 24 years,Male,"150,001 - 175,000 rupees",Garden,Visit a community centre,,
1829,389,15 - 24 years,Transgender,"125,001 - 150,000 rupees",Gulshan-e-Iqbal,Visit a park for a walks or leisure,No - I do not trust them,No - I would like the opportunities to participate
1830,389dup,15 - 24 years,Transgender,"125,001 - 150,000 rupees",Gulshan-e-Iqbal,"Visit a religious building (mosque, church, temple, etc)",,
1831,389dup,15 - 24 years,Transgender,"125,001 - 150,000 rupees",Gulshan-e-Iqbal,Participate in a protest,,
1832,389dup,15 - 24 years,Transgender,"125,001 - 150,000 rupees",Gulshan-e-Iqbal,Visit an outdoors bazaar,,
1833,390,25 - 44 years,Female,"75,001 - 100,000 rupees",Clifton Cantonment,"Visit monuments, historic sites",No - I do not trust them,No - I would like the opportunities to participate
1834,390dup,25 - 44 years,Female,"75,001 - 100,000 rupees",Clifton Cantonment,Visit cultural events on the street or at public squares,,
1835,390dup,25 - 44 years,Female,"75,001 - 100,000 rupees",Clifton Cantonment,Visit a park for a walks or leisure,,
1836,390dup,25 - 44 years,Female,"75,001 - 100,000 rupees",Clifton Cantonment,"Visit a fair (books, food, crafts)",,
1837,390dup,25 - 44 years,Female,"75,001 - 100,000 rupees",Clifton Cantonment,"Visit a religious building (mosque, church, temple, etc)",,
1838,390dup,25 - 44 years,Female,"75,001 - 100,000 rupees",Clifton Cantonment,Visit an outdoors bazaar,,
1839,390dup,25 - 44 years,Female,"75,001 - 100,000 rupees",Clifton Cantonment,Visit a community centre,,
1840,391,25 - 44 years,Male,"125,001 - 150,000 rupees",Gulshan-e-Iqbal,"Visit conferences, seminars (outside of institutional requirements)",No - I do not trust them,Yes - I would like more opportunities to participate
1841,391dup,25 - 44 years,Male,"125,001 - 150,000 rupees",Gulshan-e-Iqbal,Visit cultural events on the street or at public squares,,
1842,391dup,25 - 44 years,Male,"125,001 - 150,000 rupees",Gulshan-e-Iqbal,Visit a park for a walks or leisure,,
1843,391dup,25 - 44 years,Male,"125,001 - 150,000 rupees",Gulshan-e-Iqbal,Attend sporting events as a spectator,,
1844,391dup,25 - 44 years,Male,"125,001 - 150,000 rupees",Gulshan-e-Iqbal,Practice some sport of physical activity on a regular basis,,
1845,391dup,25 - 44 years,Male,"125,001 - 150,000 rupees",Gulshan-e-Iqbal,Participate in a protest,,
1846,391dup,25 - 44 years,Male,"125,001 - 150,000 rupees",Gulshan-e-Iqbal,"Visit a natural area (hills, lakes, mangroves, etc)",,
1847,392,25 - 44 years,Female,"175,000 - 200,000 rupees",Outside Karachi,"Visit museums, galleries",No - I do not trust them,Yes - I would like more opportunities to participate
1848,392dup,25 - 44 years,Female,"175,000 - 200,000 rupees",Outside Karachi,Visit a park for a walks or leisure,,
1849,392dup,25 - 44 years,Female,"175,000 - 200,000 rupees",Outside Karachi,Practice some sport of physical activity on a regular basis,,
1850,392dup,25 - 44 years,Female,"175,000 - 200,000 rupees",Outside Karachi,"Visit a theatre (play, movies)",,
1851,392dup,25 - 44 years,Female,"175,000 - 200,000 rupees",Outside Karachi,"Visit a fair (books, food, crafts)",,
1852,392dup,25 - 44 years,Female,"175,000 - 200,000 rupees",Outside Karachi,Participate in a protest,,
1853,392dup,25 - 44 years,Female,"175,000 - 200,000 rupees",Outside Karachi,Visit an indoors bazaar/mall,,
1854,393,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,"Visit museums, galleries",No - I do not trust them,No - I would like the opportunities to participate
1855,393dup,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,"Visit monuments, historic sites",,
1856,393dup,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,Visit cultural events on the street or at public squares,,
1857,393dup,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,Visit a park for a walks or leisure,,
1858,393dup,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,Practice some sport of physical activity on a regular basis,,
1859,393dup,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,"Visit a theatre (play, movies)",,
1860,393dup,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,"Visit a fair (books, food, crafts)",,
1861,393dup,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,"Visit a religious building (mosque, church, temple, etc)",,
1862,393dup,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,Visit an outdoors bazaar,,
1863,393dup,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,Visit an indoors bazaar/mall,,
1864,394,15 - 24 years,Female,"175,000 - 200,000 rupees",Ferozabad,"Visit monuments, historic sites",No - I do not trust them,No - I would like the opportunities to participate
1865,394dup,15 - 24 years,Female,"175,000 - 200,000 rupees",Ferozabad,"Visit a religious building (mosque, church, temple, etc)",,
1866,394dup,15 - 24 years,Female,"175,000 - 200,000 rupees",Ferozabad,Visit an outdoors bazaar,,
1867,394dup,15 - 24 years,Female,"175,000 - 200,000 rupees",Ferozabad,Visit an indoors bazaar/mall,,
1868,394dup,15 - 24 years,Female,"175,000 - 200,000 rupees",Ferozabad,"Visit a natural area (hills, lakes, mangroves, etc)",,
1869,395,15 - 24 years,Male,"125,001 - 150,000 rupees",Garden,"Visit museums, galleries",Indifferent,Yes - I would like more opportunities to participate
1870,395dup,15 - 24 years,Male,"125,001 - 150,000 rupees",Garden,"Visit monuments, historic sites",,
1871,395dup,15 - 24 years,Male,"125,001 - 150,000 rupees",Garden,"Visit conferences, seminars (outside of institutional requirements)",,
1872,395dup,15 - 24 years,Male,"125,001 - 150,000 rupees",Garden,Visit cultural events on the street or at public squares,,
1873,395dup,15 - 24 years,Male,"125,001 - 150,000 rupees",Garden,"Visit a religious building (mosque, church, temple, etc)",,
1874,395dup,15 - 24 years,Male,"125,001 - 150,000 rupees",Garden,Participate in a protest,,
1875,395dup,15 - 24 years,Male,"125,001 - 150,000 rupees",Garden,Visit an outdoors bazaar,,
1876,395dup,15 - 24 years,Male,"125,001 - 150,000 rupees",Garden,Visit an indoors bazaar/mall,,
1877,395dup,15 - 24 years,Male,"125,001 - 150,000 rupees",Garden,"Visit a natural area (hills, lakes, mangroves, etc)",,
1878,396,15 - 24 years,Female,"200,001 and above",Clifton Cantonment,Visit a park for a walks or leisure,No - I do not trust them,Yes - I would like more opportunities to participate
1879,396dup,15 - 24 years,Female,"200,001 and above",Clifton Cantonment,Practice some sport of physical activity on a regular basis,,
1880,396dup,15 - 24 years,Female,"200,001 and above",Clifton Cantonment,"Visit a religious building (mosque, church, temple, etc)",,
1881,396dup,15 - 24 years,Female,"200,001 and above",Clifton Cantonment,Participate in a protest,,
1882,396dup,15 - 24 years,Female,"200,001 and above",Clifton Cantonment,Visit an outdoors bazaar,,
1883,396dup,15 - 24 years,Female,"200,001 and above",Clifton Cantonment,Visit an indoors bazaar/mall,,
1884,397,15 - 24 years,Female,"175,000 - 200,000 rupees",Gulshan-e-Iqbal,Visit an outdoors bazaar,Indifferent,Yes - I would like more opportunities to participate
1885,397dup,15 - 24 years,Female,"175,000 - 200,000 rupees",Gulshan-e-Iqbal,Visit an indoors bazaar/mall,,
1886,397dup,15 - 24 years,Female,"175,000 - 200,000 rupees",Gulshan-e-Iqbal,"Visit a natural area (hills, lakes, mangroves, etc)",,
1887,398,25 - 44 years,Female,"50,001 - 75,000 rupees",Clifton Cantonment,Practice some sport of physical activity on a regular basis,No - I do not trust them,No - I would like the opportunities to participate
1888,399,25 - 44 years,Female,"200,001 and above",Gulshan-e-Iqbal,"Visit museums, galleries",No - I do not trust them,No - I would like the opportunities to participate
1889,399dup,25 - 44 years,Female,"200,001 and above",Gulshan-e-Iqbal,"Visit monuments, historic sites",,
1890,399dup,25 - 44 years,Female,"200,001 and above",Gulshan-e-Iqbal,Visit a park for a walks or leisure,,
1891,399dup,25 - 44 years,Female,"200,001 and above",Gulshan-e-Iqbal,"Visit a fair (books, food, crafts)",,
1892,399dup,25 - 44 years,Female,"200,001 and above",Gulshan-e-Iqbal,"Visit a religious building (mosque, church, temple, etc)",,
1893,399dup,25 - 44 years,Female,"200,001 and above",Gulshan-e-Iqbal,Participate in a protest,,
1894,399dup,25 - 44 years,Female,"200,001 and above",Gulshan-e-Iqbal,Visit an indoors bazaar/mall,,
1895,400,25 - 44 years,Male,"175,000 - 200,000 rupees",Gulshan-e-Iqbal,,No - I do not trust them,No - I would like the opportunities to participate
1896,401,25 - 44 years,Male,"50,001 - 75,000 rupees",Shah Faisal,Participate in a protest,No - I do not trust them,No - I would like the opportunities to participate
1897,401dup,25 - 44 years,Male,"50,001 - 75,000 rupees",Shah Faisal,"Visit a natural area (hills, lakes, mangroves, etc)",,
1898,402,15 - 24 years,Male,"125,001 - 150,000 rupees",Gulshan-e-Iqbal,Visit a park for a walks or leisure,No - I do not trust them,Yes - I will not participate again
1899,402dup,15 - 24 years,Male,"125,001 - 150,000 rupees",Gulshan-e-Iqbal,Practice some sport of physical activity on a regular basis,,
1900,402dup,15 - 24 years,Male,"125,001 - 150,000 rupees",Gulshan-e-Iqbal,"Visit a religious building (mosque, church, temple, etc)",,
1901,402dup,15 - 24 years,Male,"125,001 - 150,000 rupees",Gulshan-e-Iqbal,Visit an indoors bazaar/mall,,
1902,402dup,15 - 24 years,Male,"125,001 - 150,000 rupees",Gulshan-e-Iqbal,"Visit a natural area (hills, lakes, mangroves, etc)",,
1903,403,25 - 44 years,Female,"100,001 - 125,000 rupees",Gulshan-e-Iqbal,Visit a park for a walks or leisure,No - I do not trust them,Yes - I would like more opportunities to participate
1904,403dup,25 - 44 years,Female,"100,001 - 125,000 rupees",Gulshan-e-Iqbal,Visit an outdoors bazaar,,
1905,403dup,25 - 44 years,Female,"100,001 - 125,000 rupees",Gulshan-e-Iqbal,Visit an indoors bazaar/mall,,
1906,404,15 - 24 years,Male,"175,000 - 200,000 rupees",Airport,"Visit museums, galleries",No - I do not trust them,No - I would like the opportunities to participate
1907,404dup,15 - 24 years,Male,"175,000 - 200,000 rupees",Airport,"Visit monuments, historic sites",,
1908,404dup,15 - 24 years,Male,"175,000 - 200,000 rupees",Airport,Visit a park for a walks or leisure,,
1909,404dup,15 - 24 years,Male,"175,000 - 200,000 rupees",Airport,"Visit a religious building (mosque, church, temple, etc)",,
1910,404dup,15 - 24 years,Male,"175,000 - 200,000 rupees",Airport,Visit an outdoors bazaar,,
1911,404dup,15 - 24 years,Male,"175,000 - 200,000 rupees",Airport,Visit an indoors bazaar/mall,,
1912,404dup,15 - 24 years,Male,"175,000 - 200,000 rupees",Airport,"Visit a natural area (hills, lakes, mangroves, etc)",,
1913,405,25 - 44 years,Female,"125,001 - 150,000 rupees",Ferozabad,"Visit museums, galleries",No - I do not trust them,No - I would like the opportunities to participate
1914,405dup,25 - 44 years,Female,"125,001 - 150,000 rupees",Ferozabad,"Visit conferences, seminars (outside of institutional requirements)",,
1915,405dup,25 - 44 years,Female,"125,001 - 150,000 rupees",Ferozabad,"Visit a fair (books, food, crafts)",,
1916,405dup,25 - 44 years,Female,"125,001 - 150,000 rupees",Ferozabad,Visit an outdoors bazaar,,
1917,405dup,25 - 44 years,Female,"125,001 - 150,000 rupees",Ferozabad,Visit an indoors bazaar/mall,,
1918,406,15 - 24 years,Female,Prefer not to answer,Outside Karachi,Visit cultural events on the street or at public squares,No - I do not trust them,No - I do not wish to participate
1919,406dup,15 - 24 years,Female,Prefer not to answer,Outside Karachi,Visit a park for a walks or leisure,,
1920,406dup,15 - 24 years,Female,Prefer not to answer,Outside Karachi,Visit an outdoors bazaar,,
1921,406dup,15 - 24 years,Female,Prefer not to answer,Outside Karachi,Visit an indoors bazaar/mall,,
1922,407,15 - 24 years,Transgender,"200,001 and above",Ferozabad,"Visit a religious building (mosque, church, temple, etc)",No - I do not trust them,No - I would like the opportunities to participate
1923,407dup,15 - 24 years,Transgender,"200,001 and above",Ferozabad,Participate in a protest,,
1924,407dup,15 - 24 years,Transgender,"200,001 and above",Ferozabad,Visit an outdoors bazaar,,
1925,407dup,15 - 24 years,Transgender,"200,001 and above",Ferozabad,Visit an indoors bazaar/mall,,
1926,408,25 - 44 years,Non-binary,"100,001 - 125,000 rupees",Clifton Cantonment,"Visit conferences, seminars (outside of institutional requirements)",No - I do not trust them,No - I would like the opportunities to participate
1927,408dup,25 - 44 years,Non-binary,"100,001 - 125,000 rupees",Clifton Cantonment,Participate in a protest,,
1928,409,15 - 24 years,Female,Prefer not to answer,Gulberg,,,
1929,410,15 - 24 years,Female,"125,001 - 150,000 rupees",Gulshan-e-Iqbal,,,
1930,411,15 - 24 years,Female,"50,001 - 75,000 rupees",Korangi,,,
1931,412,15 - 24 years,Female,"125,001 - 150,000 rupees",Gulshan-e-Iqbal,,,
1932,413,15 - 24 years,Female,"200,001 and above",Clifton Cantonment,,,
1933,414,15 - 24 years,Female,"125,001 - 150,000 rupees",Gulshan-e-Iqbal,,,
1934,415,15 - 24 years,Female,"200,001 and above",Clifton Cantonment,,,
1935,416,15 - 24 years,Female,Prefer not to answer,Malir Cantonment,,,
1936,417,15 - 24 years,Male,"50,001 - 75,000 rupees",Gulshan-e-Iqbal,,,
1937,418,15 - 24 years,Female,Prefer not to answer,Gulshan-e-Iqbal,,,
1938,419,15 - 24 years,Female,"50,001 - 75,000 rupees",Gulshan-e-Iqbal,,,
1939,420,15 - 24 years,Female,Prefer not to answer,Nazimabad,,,
1940,421,15 - 24 years,Female,Prefer not to answer,Gulshan-e-Iqbal,,,
1941,422,15 - 24 years,Female,"125,001 - 150,000 rupees",Nazimabad,,,
1942,423,15 - 24 years,Female,"150,001 - 175,000 rupees",Gulshan-e-Iqbal,,,
1943,424,15 - 24 years,Female,"50,001 - 75,000 rupees",Nazimabad,,,
1944,425,15 - 24 years,Female,"Up to 25,000 rupees",Gulshan-e-Iqbal,,,
1945,426,15 - 24 years,Female,"Up to 25,000 rupees",Gulzar-e-Hijri,,,
1946,427,15 - 24 years,Female,"200,001 and above",Gulshan-e-Iqbal,,,
1947,428,15 - 24 years,Male,"25,001 - 50,000 rupees",Gulshan-e-Iqbal,,,
1948,429,15 - 24 years,Female,"200,001 and above",Malir Cantonment,,,
1949,430,15 - 24 years,Female,Prefer not to answer,Liaquatabad,,,
1950,431,15 - 24 years,Female,Prefer not to answer,Faisal Cantonment,,,
1951,432,15 - 24 years,Male,Prefer not to answer,Gulshan-e-Iqbal,,,
1952,433,15 - 24 years,Female,"25,001 - 50,000 rupees",Gulberg,,,
1953,434,15 - 24 years,Female,"125,001 - 150,000 rupees",Ferozabad,,,
1954,435,15 - 24 years,Male,"50,001 - 75,000 rupees",Nazimabad,,,
1955,436,15 - 24 years,Female,"200,001 and above",Clifton Cantonment,,,
1956,437,15 - 24 years,Female,"150,001 - 175,000 rupees",Gulshan-e-Iqbal,,,
1957,438,15 - 24 years,Female,"125,001 - 150,000 rupees",Gulshan-e-Iqbal,,,
1958,439,15 - 24 years,Female,"200,001 and above",Nazimabad,,,
1959,440,15 - 24 years,Female,Prefer not to answer,Shah Faisal,,,
1960,441,15 - 24 years,Male,"125,001 - 150,000 rupees",Gulshan-e-Iqbal,,,
1961,442,15 - 24 years,Female,"150,001 - 175,000 rupees",Saddar,,,
1962,443,15 - 24 years,Male,Prefer not to answer,Gulshan-e-Iqbal,,,
1963,444,15 - 24 years,Female,"200,001 and above",Faisal Cantonment,,,
1964,445,25 - 44 years,Female,Prefer not to answer,Shah Faisal,,,
1965,446,15 - 24 years,Female,Prefer not to answer,Malir Cantonment,,,
1966,447,15 - 24 years,Female,"50,001 - 75,000 rupees",Nazimabad,,,
1967,448,15 - 24 years,Female,"25,001 - 50,000 rupees",Gulzar-e-Hijri,,,
1968,449,15 - 24 years,Female,"125,001 - 150,000 rupees",Nazimabad,,,
1969,450,15 - 24 years,Male,"125,001 - 150,000 rupees",Ferozabad,,,
1970,451,15 - 24 years,Female,"50,001 - 75,000 rupees",Gulshan-e-Iqbal,,,
1971,452,15 - 24 years,Male,"200,001 and above",Gulshan-e-Iqbal,,,
1972,453,15 - 24 years,Male,"50,001 - 75,000 rupees",Gulshan-e-Iqbal,,,
1973,454,15 - 24 years,Female,"125,001 - 150,000 rupees",Gulshan-e-Iqbal,,,
1974,455,15 - 24 years,Female,Prefer not to answer,Gulshan-e-Iqbal,,,
1975,456,25 - 44 years,Female,"50,001 - 75,000 rupees",Jamshed Quarters,,,
1976,457,15 - 24 years,Female,Prefer not to answer,Karachi Cantonment,,,
1977,458,15 - 24 years,Female,"50,001 - 75,000 rupees",Shah Faisal,,,
1978,459,15 - 24 years,Male,Prefer not to answer,Gulshan-e-Iqbal,,,
1979,460,15 - 24 years,Female,"50,001 - 75,000 rupees",Faisal Cantonment,,,
1980,461,15 - 24 years,Female,"25,001 - 50,000 rupees",Jamshed Quarters,,,
1981,462,15 - 24 years,Female,"125,001 - 150,000 rupees",Civil Lines,,,
1982,463,15 - 24 years,Male,"125,001 - 150,000 rupees",Gulshan-e-Iqbal,,,
1983,464,15 - 24 years,Female,"25,001 - 50,000 rupees",Jamshed Quarters,,,
1984,465,15 - 24 years,Male,"200,001 and above",Airport,,,
1985,466,15 - 24 years,Female,Prefer not to answer,Gulshan-e-Iqbal,,,
1986,467,15 - 24 years,Female,"125,001 - 150,000 rupees",Gulshan-e-Iqbal,,,
1987,468,15 - 24 years,Male,Prefer not to answer,Civil Lines,,,
1988,469,15 - 24 years,Female,"50,001 - 75,000 rupees",Airport,,,
1989,470,15 - 24 years,Male,Prefer not to answer,Clifton Cantonment,,,
1990,471,15 - 24 years,Male,Prefer not to answer,Ferozabad,,,
1991,472,25 - 44 years,Male,"50,001 - 75,000 rupees",Clifton Cantonment,,,
1992,473,15 - 24 years,Male,Prefer not to answer,Clifton Cantonment,,,
1993,474,15 - 24 years,Male,"25,001 - 50,000 rupees",Clifton Cantonment,,,
1994,475,25 - 44 years,Male,"Up to 25,000 rupees",Clifton Cantonment,,,
1995,476,15 - 24 years,Female,"150,001 - 175,000 rupees",Gulshan-e-Iqbal,,,
1996,477,15 - 24 years,Male,Prefer not to answer,Clifton Cantonment,,,
1997,478,45 years and above,Male,"150,001 - 175,000 rupees",Nazimabad,,,
1998,479,15 - 24 years,Male,Prefer not to answer,Gulshan-e-Iqbal,,,
1999,480,25 - 44 years,Male,Prefer not to answer,Gulshan-e-Iqbal,,,
2000,481,15 - 24 years,Male,Prefer not to answer,Clifton Cantonment,,,
2001,482,25 - 44 years,Female,"200,001 and above",Gulshan-e-Iqbal,,,
2002,483,15 - 24 years,Female,Prefer not to answer,Jamshed Quarters,,,
2003,484,25 - 44 years,Male,"50,001 - 75,000 rupees",Jamshed Quarters,,,
2004,485,15 - 24 years,Male,Prefer not to answer,Clifton Cantonment,,,
2005,486,15 - 24 years,Male,Prefer not to answer,Baldia,,,
2006,487,15 - 24 years,Male,"Up to 25,000 rupees",Baldia,,,
2007,488,25 - 44 years,Female,Prefer not to answer,Nazimabad,,,
2008,489,15 - 24 years,Female,"125,001 - 150,000 rupees",Gulshan-e-Iqbal,,,
2009,490,25 - 44 years,Male,Prefer not to answer,Malir Cantonment,,,
2010,491,15 - 24 years,Female,"125,001 - 150,000 rupees",Nazimabad,,,
2011,492,15 - 24 years,Female,"25,001 - 50,000 rupees",Orangi,,,
2012,493,15 - 24 years,Male,"25,001 - 50,000 rupees",Orangi,,,
2013,494,45 years and above,Male,"25,001 - 50,000 rupees",Garden,,,
2014,495,15 - 24 years,Male,Prefer not to answer,Saddar,,,
2015,496,45 years and above,Transgender,"Up to 25,000 rupees",Civil Lines,,,
2016,497,25 - 44 years,Female,Prefer not to answer,Gulshan-e-Iqbal,,,
2017,498,15 - 24 years,Male,"150,001 - 175,000 rupees",Gulshan-e-Iqbal,,,
2018,499,Below 15 years,Female,Prefer not to answer,Civil Lines,,,
