,index,What age range are you?,What is your gender?,What estimated range is your household's monthly income?,"Which area are you from? If not from Karachi please select ""Outside Karachi""","In the last 12 months, have you done any of the following in Karachi? Please select all that apply",Do you trust Karachi's various administrative bodies and caretakers with your well-being?,Have you given feedback or participated in the design process of any public project in Karachi?
61,8dup,25 - 44 years,Male,"175,000 - 200,000 rupees",Clifton Cantonment,"Visit a fair (books, food, crafts)",,
62,8dup,25 - 44 years,Male,"175,000 - 200,000 rupees",Clifton Cantonment,"Visit a religious building (mosque, church, temple, etc)",,
63,8dup,25 - 44 years,Male,"175,000 - 200,000 rupees",Clifton Cantonment,Visit a musical/dancing event (not including weddings),,
64,8dup,25 - 44 years,Male,"175,000 - 200,000 rupees",Clifton Cantonment,Participate in a protest,,
65,8dup,25 - 44 years,Male,"175,000 - 200,000 rupees",Clifton Cantonment,Visit an outdoors bazaar,,
66,8dup,25 - 44 years,Male,"175,000 - 200,000 rupees",Clifton Cantonment,Visit an indoors bazaar/mall,,
67,8dup,25 - 44 years,Male,"175,000 - 200,000 rupees",Clifton Cantonment,"Visit a natural area (hills, lakes, mangroves, etc)",,
68,8dup,25 - 44 years,Male,"175,000 - 200,000 rupees",Clifton Cantonment,Visit a community centre,,
69,9,25 - 44 years,Female,Prefer not to answer,Gulshan-e-Iqbal,"Visit museums, galleries",No - I do not trust them,Yes - I would like more opportunities to participate
70,9dup,25 - 44 years,Female,Prefer not to answer,Gulshan-e-Iqbal,"Visit monuments, historic sites",,
71,9dup,25 - 44 years,Female,Prefer not to answer,Gulshan-e-Iqbal,Visit an indoors bazaar/mall,,
72,10,15 - 24 years,Female,Prefer not to answer,Gulshan-e-Iqbal,"Visit monuments, historic sites",No - I do not trust them,No - I would like the opportunities to participate
73,10dup,15 - 24 years,Female,Prefer not to answer,Gulshan-e-Iqbal,"Visit a theatre (play, movies)",,
74,10dup,15 - 24 years,Female,Prefer not to answer,Gulshan-e-Iqbal,Participate in a protest,,
75,10dup,15 - 24 years,Female,Prefer not to answer,Gulshan-e-Iqbal,Visit an outdoors bazaar,,
76,10dup,15 - 24 years,Female,Prefer not to answer,Gulshan-e-Iqbal,Visit an indoors bazaar/mall,,
77,10dup,15 - 24 years,Female,Prefer not to answer,Gulshan-e-Iqbal,"Visit a natural area (hills, lakes, mangroves, etc)",,
78,11,25 - 44 years,Female,"125,001 - 150,000 rupees",North Nazimabad Town,Visit a park for a walks or leisure,No - I do not trust them,No - I would like the opportunities to participate
79,11dup,25 - 44 years,Female,"125,001 - 150,000 rupees",North Nazimabad Town,"Visit a theatre (play, movies)",,
80,11dup,25 - 44 years,Female,"125,001 - 150,000 rupees",North Nazimabad Town,"Visit a fair (books, food, crafts)",,
81,11dup,25 - 44 years,Female,"125,001 - 150,000 rupees",North Nazimabad Town,Visit a musical/dancing event (not including weddings),,
